"Date / Time","Object Name","Object Value",
"10/19/2019 01:30:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 01:30:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.3435 ",
"10/19/2019 01:30:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.0243 ",
"10/19/2019 01:20:00 PM","OA-T.Trend - Present Value (Trend1)","66.74 ",
"10/19/2019 01:20:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 01:20:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.3435 ",
"10/19/2019 01:20:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.0243 ",
"10/19/2019 01:10:00 PM","OA-T.Trend - Present Value (Trend1)","66.56 ",
"10/19/2019 01:10:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 01:10:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.398 ",
"10/19/2019 01:10:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 01:00:00 PM","OA-T.Trend - Present Value (Trend1)","66.2 ",
"10/19/2019 01:00:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 01:00:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.398 ",
"10/19/2019 01:00:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.0243 ",
"10/19/2019 12:50:00 PM","OA-T.Trend - Present Value (Trend1)","66.02 ",
"10/19/2019 12:50:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 12:50:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.398 ",
"10/19/2019 12:50:00 PM","HHWR-T.Trend - Present Value (Trend1)","135.8419 ",
"10/19/2019 12:40:00 PM","OA-T.Trend - Present Value (Trend1)","65.84 ",
"10/19/2019 12:40:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 12:40:00 PM","HHWS-T.Trend - Present Value (Trend1)","144.2589 ",
"10/19/2019 12:40:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.0243 ",
"10/19/2019 12:30:00 PM","OA-T.Trend - Present Value (Trend1)","66.02 ",
"10/19/2019 12:30:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 12:30:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.4298 ",
"10/19/2019 12:30:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.0243 ",
"10/19/2019 12:20:00 PM","OA-T.Trend - Present Value (Trend1)","65.84 ",
"10/19/2019 12:20:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 12:20:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.398 ",
